,Indicator Code,Indicator Name,Table,Indicator,PCT
0,SPID412AGRI,Agriculture census (Availability score over 20 years),WB_SPI,SPID412AGRI,0.2479838709677419
1,SPID415AGSVY,Agriculture survey (Availability score over 10 years),WB_SPI,SPID415AGSVY,0.8755760368663594
2,SPID15POV,Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),WB_SPI,SPID15POV,1.0
3,SPID15CHLDMORT,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",WB_SPI,SPID15CHLDMORT,1.0
4,SPID5210GSBP,Business process,WB_SPI,SPID5210GSBP,0.3398617511520737
5,SPID413BIZZ,Business/establishment census (Availability score over 20 years),WB_SPI,SPID413BIZZ,0.8755760368663594
6,SPID418BZSVY,Business/establishment survey (Availability score over 10 years),WB_SPI,SPID418BZSVY,0.8755760368663594
7,SPID527CGOV,Central government accounting status,WB_SPI,SPID527CGOV,0.2191820276497695
8,SPID525HOUS,Classification of household consumption,WB_SPI,SPID525HOUS,0.3401497695852534
9,SPID523CNIN,Classification of national industry,WB_SPI,SPID523CNIN,0.3398617511520737
10,SPID526EMPL,Classification of status of employment,WB_SPI,SPID526EMPL,0.3398617511520737
11,SPID528FINA,Compilation of government finance statistics,WB_SPI,SPID528FINA,0.3398617511520737
12,SPID529MONY,Compilation of monetary and financial statistics,WB_SPI,SPID529MONY,0.2191820276497695
13,SPID524CPIBY,CPI base year,WB_SPI,SPID524CPIBY,0.2741935483870967
14,SPID423CRVS,CRVS (WDI),WB_SPI,SPID423CRVS,0.3096198156682028
15,SPIDIM15INDEX,Dimension 1.5: Data use by international organizations,WB_SPI,SPIDIM15INDEX,1.0
16,SPIDIM21INDEX,Dimension 2.1: Data Releases,WB_SPI,SPIDIM21INDEX,0.3689516129032258
17,SPIDIM22INDEX,Dimension 2.2: Online access,WB_SPI,SPIDIM22INDEX,0.2404953917050691
18,SPIDIM24INDEX,Dimension 2.4: Data services,WB_SPI,SPIDIM24INDEX,0.2191820276497695
19,SPIDIM31INDEX,Dimension 3.1: Social Statistics,WB_SPI,SPIDIM31INDEX,0.9907834101382488
20,SPIDIM32INDEX,Dimension 3.2: Economic Statistics,WB_SPI,SPIDIM32INDEX,0.9907834101382488
21,SPIDIM33INDEX,Dimension 3.3: Environmental Statistics,WB_SPI,SPIDIM33INDEX,0.9288594470046084
22,SPIDIM34INDEX,Dimension 3.4: Institutional Statistics,WB_SPI,SPIDIM34INDEX,0.9907834101382488
23,SPIDIM41CENINDEX,Dimension 4.1: Censuses and Surveys - Censuses only,WB_SPI,SPIDIM41CENINDEX,0.2171658986175115
24,SPIDIM41SVYINDEX,Dimension 4.1: Censuses and Surveys - Surveys only,WB_SPI,SPIDIM41SVYINDEX,0.8755760368663594
25,SPIDIM42INDEX,Dimension 4.2: Administrative Data,WB_SPI,SPIDIM42INDEX,0.3096198156682028
26,SPIDIM43INDEX,Dimension 4.3: Geospatial Data,WB_SPI,SPIDIM43INDEX,0.2404953917050691
27,SPIDIM51INDEX,Dimension 5.1: Legislation and governance,WB_SPI,SPIDIM51INDEX,0.1949884792626728
28,SPIDIM52INDEX,Dimension 5.2: Standards and Methods,WB_SPI,SPIDIM52INDEX,0.2174539170506912
29,SPIDIM55INDEX,Dimension 5.5: Finance,WB_SPI,SPIDIM55INDEX,0.1935483870967742
30,SPID55DIFI,Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,WB_SPI,SPID55DIFI,0.1935483870967742
31,SPID43GEOfirstadminlevel,Geospatial data available at 1st Admin Level,WB_SPI,SPID43GEOfirstadminlevel,0.2404953917050691
32,SPID31POV,GOAL 1: No Poverty (5 year moving average),WB_SPI,SPID31POV,0.9907834101382488
33,SPID310NEQL,GOAL 10: Reduced Inequality (5 year moving average),WB_SPI,SPID310NEQL,0.9907834101382488
34,SPID311CITY,GOAL 11: Sustainable Cities and Communities (5 year moving average),WB_SPI,SPID311CITY,0.9907834101382488
35,SPID312CNSP,GOAL 12: Responsible Consumption and Production (5 year moving average),WB_SPI,SPID312CNSP,0.9907834101382488
36,SPID313CLMT,GOAL 13: Climate Action (5 year moving average),WB_SPI,SPID313CLMT,0.9288594470046084
37,SPID315LAND,GOAL 15: Life on Land (5 year moving average),WB_SPI,SPID315LAND,0.9907834101382488
38,SPID316INST,GOAL 16: Peace and Justice Strong Institutions (5 year moving average),WB_SPI,SPID316INST,0.9907834101382488
39,SPID317PTNS,GOAL 17: Partnerships to achieve the Goal (5 year moving average),WB_SPI,SPID317PTNS,0.9907834101382488
40,SPID32HNGR,GOAL 2: Zero Hunger (5 year moving average),WB_SPI,SPID32HNGR,0.9907834101382488
41,SPID33HLTH,GOAL 3: Good Health and Well-being (5 year moving average),WB_SPI,SPID33HLTH,0.9907834101382488
42,SPID34EDUC,GOAL 4: Quality Education (5 year moving average),WB_SPI,SPID34EDUC,0.9907834101382488
43,SPID35GEND,GOAL 5: Gender Equality (5 year moving average),WB_SPI,SPID35GEND,0.9907834101382488
44,SPID36WTRS,GOAL 6: Clean Water and Sanitation (5 year moving average),WB_SPI,SPID36WTRS,0.9907834101382488
45,SPID37ENRG,GOAL 7: Affordable and Clean Energy (5 year moving average),WB_SPI,SPID37ENRG,0.9907834101382488
46,SPID38WORK,GOAL 8: Decent Work and Economic Growth (5 year moving average),WB_SPI,SPID38WORK,0.9907834101382488
47,SPID39INDY,"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",WB_SPI,SPID39INDY,0.9907834101382488
48,SPID417HLTH,Health/Demographic survey (Availability score over 10 years),WB_SPI,SPID417HLTH,0.8894009216589862
49,SPID414HOUS,"Household Survey on income, etc  (Availability score over 10 years)",WB_SPI,SPID414HOUS,0.8755760368663594
